F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 I     0     246       2  0  60 -20 -     0 -      ?        00:00:01 kworker/6:1H-kblockd
1 I     0     247       2  0  60 -20 -     0 -      ?        00:00:02 kworker/5:1H-kblockd
1 I     0     248       2  0  60 -20 -     0 -      ?        00:00:02 kworker/15:1H-kblockd
1 I     0     249       2  0  60 -20 -     0 -      ?        00:00:02 kworker/12:1H-kblockd
1 I     0     252       2  0  60 -20 -     0 -      ?        00:00:02 kworker/13:1H-kblockd
1 I     0     253       2  0  60 -20 -     0 -      ?        00:00:03 kworker/10:1H-kblockd
1 I     0     254       2  0  60 -20 -     0 -      ?        00:00:03 kworker/3:1H-kblockd
1 I     0     255       2  0  60 -20 -     0 -      ?        00:00:02 kworker/2:1H-kblockd
1 I     0     256       2  0  60 -20 -     0 -      ?        00:00:01 kworker/7:1H-kblockd
1 I     0     269       2  0  60 -20 -     0 -      ?        00:00:02 kworker/1:1H-kblockd
1 I     0     270       2  0  60 -20 -     0 -      ?        00:00:03 kworker/9:1H-kblockd
1 I     0     271       2  0  60 -20 -     0 -      ?        00:00:03 kworker/11:1H-kblockd
1 S     0     318       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_0
1 I     0     319       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     321       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_1
1 I     0     322       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     323       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_2
1 I     0     324       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     325       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_3
1 I     0     326       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     327       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_4
1 I     0     328       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     329       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_5
1 I     0     330       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     337       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_6
1 I     0     338       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     339       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_7
1 I     0     340       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     341       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_8
1 I     0     342       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     343       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_9
1 I     0     344       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
